female,start,time,churned
0,92,273,0
0,5,360,0
0,357,8,0
0,154,211,0
0,118,247,0
1,308,57,0
0,275,90,0
0,307,58,0
0,313,52,0
0,353,12,0
0,162,33,1
0,226,139,0
0,6,359,0
0,361,4,0
0,278,87,0
0,198,167,0
0,156,209,0
1,172,193,0
1,111,254,0
0,234,97,1
1,152,106,1
1,118,247,0
0,63,302,0
0,288,77,0
0,197,168,0
0,314,51,0
0,312,53,0
0,154,211,0
1,138,227,0
1,224,141,0
1,169,196,0
1,164,38,1
1,60,305,0
0,102,263,0
0,60,305,0
0,84,281,0
0,191,174,0
0,194,81,1
0,293,72,0
1,29,126,1
0,110,255,0
1,349,16,1
0,127,159,1
1,344,21,0
0,291,74,0
0,166,199,0
1,36,329,0
1,1,364,0
0,231,90,1
0,87,278,0
1,214,151,0
0,10,355,0
0,185,180,0
0,95,270,0
0,86,279,0
1,299,66,0
0,180,185,0
1,260,105,0
0,299,66,0
0,329,36,0
1,261,104,0
0,302,63,0
0,137,228,0
1,355,10,0
0,160,205,0
0,166,199,0
0,282,83,0
1,296,69,0
0,53,312,0
0,138,227,0
0,129,236,0
0,52,313,0
1,333,32,0
0,242,123,0
1,322,43,0
0,234,131,0
0,122,243,0
0,241,124,0
0,339,26,0
1,44,321,0
0,355,10,0
0,12,353,0
1,185,180,0
0,109,256,0
0,345,20,0
0,148,217,0
0,189,176,0
0,166,199,0
0,105,260,0
0,301,64,0
0,238,127,0
0,42,323,0
0,173,192,0
0,136,229,0
1,155,210,0
0,251,114,0
0,150,215,0
0,62,303,0
1,23,342,0
0,181,184,0
0,19,346,0
0,364,1,0
0,339,26,0
0,233,132,0
0,324,41,0
0,44,321,0
0,40,40,1
1,194,171,0
0,274,91,0
0,351,14,0
1,215,150,0
0,195,170,0
0,300,65,0
0,87,278,0
0,204,161,0
1,102,263,0
0,208,29,1
0,263,102,0
1,349,16,0
0,308,57,0
0,215,150,0
0,62,303,0
0,136,229,0
1,153,150,1
0,50,315,0
1,65,300,0
0,211,154,0
0,279,86,0
0,201,164,0
0,110,255,0
0,88,277,0
0,345,20,0
0,323,42,0
1,104,261,0
0,163,202,0
1,51,314,0
1,109,256,0
0,155,210,0
0,19,99,1
0,313,52,0
1,184,14,1
0,232,133,0
1,150,215,0
1,360,5,0
0,235,130,0
1,127,238,0
0,181,184,0
0,315,50,0
0,48,12,1
0,335,30,0
1,314,51,0
0,100,100,1
0,222,143,0
0,130,235,0
0,212,153,0
1,302,63,0
0,361,4,0
0,98,267,0
0,37,328,0
0,236,129,0
0,251,114,0
0,338,27,0
1,41,324,0
0,246,119,0
1,130,225,1
0,235,130,0
1,53,312,0
0,56,309,0
1,293,72,0
0,193,172,0
0,18,347,0
0,245,120,0
0,43,322,0
0,313,52,0
0,175,190,0
1,171,194,0
0,94,271,0
0,115,72,1
0,169,196,0
0,243,122,0
0,196,169,0
0,15,350,0
0,212,153,0
0,345,20,0
1,130,235,0
1,242,123,0
0,214,48,1
0,267,98,0
0,30,335,0
0,358,7,0
0,362,3,0
0,95,270,0
1,172,193,0
1,43,322,0
0,67,298,0
1,26,339,0
1,257,108,0
0,110,255,0
0,322,43,0
0,344,21,0
0,324,41,0
1,118,247,0
0,278,87,0
1,118,247,0
0,251,114,0
1,125,240,0
0,156,209,0
0,224,141,0
0,117,248,0
0,230,135,0
0,26,339,0
0,179,186,0
1,43,322,0
1,99,266,0
0,141,224,0
0,97,268,0
1,326,39,0
0,348,17,0
0,134,231,0
1,136,229,0
0,205,160,0
0,198,167,0
0,41,324,0
1,15,340,1
1,174,191,0
0,232,133,0
1,54,311,0
0,96,201,1
0,163,202,0
0,14,351,0
0,257,108,0
0,42,20,1
1,142,223,0
1,180,185,0
1,0,250,1
1,89,276,0
1,207,158,0
0,46,319,0
0,314,51,0
1,313,52,0
0,178,187,0
0,52,313,0
1,344,21,0
1,192,173,0
0,295,70,0
1,17,348,0
0,44,321,0
1,84,281,0
0,180,185,0
0,313,52,0
1,321,44,0
0,26,339,0
1,93,272,0
1,321,44,0
0,242,123,0
0,146,219,0
0,341,24,0
0,70,272,1
1,228,137,0
0,6,359,0
0,294,71,0
0,3,296,1
0,95,270,0
0,307,58,0
1,64,301,0
0,80,285,0
0,88,277,0
0,249,116,0
0,352,13,0
0,117,248,0
0,247,118,0
0,251,114,0
0,43,322,0
1,316,49,0
0,172,193,0
0,315,50,0
0,350,15,0
0,67,298,0
0,119,121,1
0,330,35,0
0,183,182,0
0,119,246,0
0,141,224,0
0,122,243,0
0,162,203,0
0,363,2,0
0,142,223,0
1,274,91,0
1,122,45,1
0,196,169,0
0,152,123,1
0,14,351,0
0,228,137,0
0,150,215,0
1,222,143,0
0,44,321,0
1,211,154,0
0,85,280,0
0,41,141,1
0,302,63,0
0,218,147,0
0,328,37,0
0,317,48,0
1,63,302,0
0,118,247,0
0,282,83,0
0,153,212,0
0,362,3,0
0,230,135,0
0,324,41,0
1,163,202,0
0,69,296,0
0,75,290,0
0,70,92,1
0,250,90,1
0,124,241,0
0,321,44,0
1,4,120,1
0,352,13,0
0,340,25,0
1,276,89,0
0,324,41,0
0,35,330,0
0,174,191,0
0,93,28,1
0,43,273,1
0,150,215,0
0,55,310,0
0,214,151,0
1,51,314,0
0,47,318,0
0,171,194,0
0,239,126,0
1,46,319,0
1,276,89,0
0,136,229,0
0,154,211,0
1,157,208,0
0,215,78,1
0,134,138,1
0,74,291,0
1,282,83,0
0,229,136,0
0,46,319,0
1,86,153,1
0,34,331,0
1,39,326,0
0,295,70,0
0,309,56,0
0,361,4,0
0,297,68,0
0,19,346,0
1,228,137,0
1,215,150,0
0,98,131,1
0,239,126,0
1,162,203,0
0,334,31,0
1,353,12,0
1,145,69,1
0,157,208,0
1,53,312,0
0,221,144,0
0,322,43,0
1,192,173,0
0,321,44,0
0,19,346,0
0,38,327,0
0,298,67,0
1,142,223,0
0,312,53,0
0,239,126,0
0,265,100,0
1,50,315,0
0,291,74,0
0,190,175,0
0,133,232,0
0,312,53,0
0,145,220,0
0,242,123,0
0,39,326,0
0,188,177,0
0,242,113,1
1,165,80,1
0,313,52,0
0,65,300,0
0,196,169,0
0,60,305,0
0,298,67,0
1,307,58,0
1,9,356,0
0,309,56,0
0,340,25,0
0,181,184,0
0,242,123,0
0,57,162,1
0,136,109,1
1,130,235,0
0,86,279,0
0,138,227,0
1,354,11,0
1,362,3,0
0,239,126,0
1,95,270,0
0,128,237,0
0,192,173,0
0,299,66,0
1,314,51,0
1,224,141,0
0,140,225,0
0,171,194,0
1,220,145,0
0,289,76,0
0,309,56,0
0,167,47,1
1,315,50,0
0,186,179,0
0,272,93,0
0,264,101,0
0,286,79,0
1,19,346,0
0,73,228,1
0,41,324,0
0,222,143,0
0,87,278,0
0,303,62,0
1,157,208,0
0,145,220,0
1,331,34,0
0,305,60,0
0,135,230,0
0,31,254,1
1,295,70,0
1,273,92,0
1,334,31,0
0,264,101,0
1,70,295,0
0,76,289,0
0,215,150,0
1,113,252,0
0,4,361,0
1,122,243,0
1,309,56,0
0,308,57,0
0,203,162,0
1,117,248,0
0,188,177,0
1,322,43,0
0,357,8,0
0,296,69,0
1,309,56,0
0,77,288,0
0,279,86,0
0,292,73,0
0,24,341,0
0,200,165,0
0,203,132,1
0,178,187,0
0,135,48,1
0,108,257,0
1,71,294,0
0,215,150,0
0,103,262,0
0,164,201,0
0,301,64,0
0,101,264,0
0,262,103,0
0,102,263,0
1,26,339,0
0,208,157,0
0,143,222,0
0,99,266,0
1,7,335,1
1,310,55,0
0,136,229,0
0,154,211,0
0,291,74,0
1,298,67,0
1,306,59,0
1,35,330,0
1,56,309,0
0,88,277,0
0,149,216,0
0,263,102,0
1,87,278,0
0,343,22,0
0,123,242,0
0,132,233,0
0,343,22,0
0,266,99,0
0,327,38,0
0,334,31,0
1,15,350,0
0,301,64,0
1,156,209,0
0,224,141,0
0,262,90,1
1,54,4,1
0,35,330,0
1,269,92,1
0,271,94,0
0,276,52,1
0,336,29,0
0,263,102,0
0,313,52,0
1,324,41,0
1,249,116,0
1,176,189,0
0,356,9,0
1,23,342,0
0,244,121,0
0,71,294,0
0,336,29,0
0,102,263,0
0,15,285,1
1,188,177,0
0,161,25,1
0,16,349,0
0,44,321,0
1,102,209,1
0,309,56,0
0,283,82,0
1,28,337,0
1,300,65,0
0,184,181,0
0,260,105,0
0,322,43,0
0,259,106,0
0,169,182,1
0,284,81,0
0,11,354,0
0,57,308,0
1,221,144,0
0,2,363,0
0,87,278,0
1,127,197,1
0,128,237,0
0,92,273,0
0,24,341,0
0,225,140,0
0,47,318,0
0,341,24,0
0,33,332,0
0,201,164,0
0,153,212,0
0,212,153,0
0,185,77,1
0,119,105,1
0,93,272,0
0,344,21,0
1,60,305,0
0,337,28,0
0,290,75,0
0,274,91,0
0,231,134,0
1,298,67,0
0,55,310,0
1,110,255,0
0,272,93,0
0,237,88,1
0,247,18,1
0,64,301,0
0,245,120,0
0,126,239,0
0,127,238,0
1,273,92,0
1,171,49,1
0,8,357,0
0,56,118,1
0,186,179,0
0,5,360,0
1,354,11,0
0,1,364,0
0,143,222,0
1,232,133,0
0,147,218,0
0,206,159,0
0,306,59,0
1,41,324,0
0,196,169,0
1,77,152,1
0,274,91,0
0,24,341,0
1,291,74,0
0,72,293,0
0,180,185,0
0,90,275,0
1,12,353,0
0,110,255,0
0,278,87,0
0,236,129,0
0,133,232,0
0,48,317,0
0,108,98,1
0,62,303,0
0,46,319,0
0,311,54,0
1,14,351,0
0,230,135,0
1,225,140,0
0,356,9,0
1,169,196,0
1,103,262,0
0,77,288,0
0,258,107,0
1,266,99,0
0,228,137,0
1,218,147,0
1,157,28,1
1,225,140,0
0,4,6,1
0,224,141,0
0,262,103,0
0,8,59,1
1,152,213,0
0,333,32,0
1,260,105,0
1,74,54,1
0,172,193,0
1,228,137,0
1,331,34,0
0,251,114,0
1,352,13,0
1,68,297,0
0,188,177,0
1,18,347,0
1,3,362,0
1,164,201,0
0,55,310,0
1,160,205,0
0,236,113,1
0,230,135,0
1,29,336,0
0,184,37,1
0,155,210,0
0,170,195,0
0,196,169,0
1,206,159,0
1,75,290,0
1,289,76,0
1,202,163,0
1,133,232,0
0,221,144,0
1,164,201,0
0,12,353,0
1,255,110,0
0,187,178,0
0,18,343,1
0,295,70,0
0,136,77,1
0,245,120,0
0,40,118,1
0,14,351,0
0,15,350,0
0,258,107,0
1,5,360,0
0,195,170,0
1,94,271,0
0,129,236,0
0,182,183,0
0,20,137,1
1,322,43,0
0,20,345,0
0,272,93,0
1,62,303,0
0,229,136,0
0,309,56,0
0,9,356,0
1,19,346,0
0,188,177,0
0,238,127,0
0,231,134,0
1,322,43,0
0,164,201,0
0,204,161,0
0,103,262,0
0,105,260,0
0,4,361,0
0,346,19,0
0,96,152,1
0,313,52,0
0,85,280,0
0,227,138,0
0,9,356,0
1,316,49,0
0,176,189,0
0,107,106,1
0,343,22,0
1,9,356,0
1,242,123,0
1,205,160,0
0,357,8,0
0,116,249,0
0,187,178,0
1,225,140,0
1,4,361,0
0,6,359,0
0,318,47,0
0,279,86,0
0,348,17,0
0,254,111,0
1,82,283,0
1,223,142,0
0,101,264,0
0,169,196,0
0,363,2,0
0,307,58,0
0,148,217,0
0,28,337,0
1,149,216,0
0,308,57,0
0,317,48,0
0,99,262,1
0,347,18,0
1,167,198,0
1,199,166,0
0,68,297,0
1,4,361,0
0,72,293,0
0,178,187,0
0,271,94,0
0,300,65,0
0,148,217,0
0,294,71,0
0,122,243,0
0,148,212,1
0,248,117,0
1,104,261,0
1,151,214,0
0,130,235,0
0,276,89,0
1,284,81,0
0,283,82,0
1,101,264,0
0,146,219,0
1,136,229,0
0,35,330,0
1,88,168,1
0,109,256,0
0,324,41,0
1,125,240,0
1,267,98,0
0,195,170,0
0,107,258,0
0,316,49,0
0,200,165,0
0,344,21,0
0,179,186,0
1,7,358,0
0,198,167,0
1,96,269,0
0,51,314,0
0,277,88,0
0,75,290,0
1,140,225,0
0,178,74,1
0,251,114,0
1,267,98,0
0,217,148,0
0,262,103,0
0,199,166,0
0,123,55,1
1,334,31,0
0,195,170,0
1,122,7,1
0,91,274,0
0,238,127,0
0,306,59,0
0,125,240,0
1,286,79,0
0,363,2,0
0,93,272,0
0,276,89,0
0,348,17,0
1,34,331,0
0,354,11,0
0,275,90,0
0,203,42,1
1,245,120,0
0,341,24,0
0,294,71,0
0,268,97,0
1,242,123,0
0,151,214,0
0,14,351,0
0,197,43,1
1,66,299,0
0,94,235,1
0,148,217,0
0,286,79,0
0,345,20,0
1,46,281,1
0,31,334,0
0,205,160,0
0,156,209,0
1,257,108,0
0,332,33,0
1,166,199,0
0,7,358,0
0,223,142,0
1,348,17,0
0,88,277,0
0,249,116,0
1,281,84,0
1,209,54,1
0,73,292,0
1,129,236,0
0,141,224,0
0,284,10,1
0,294,71,0
1,6,359,0
0,182,183,0
0,83,282,0
0,223,142,0
0,230,135,0
1,362,3,0
0,176,150,1
0,51,314,0
0,93,272,0
0,317,48,0
0,173,192,0
1,8,357,0
1,320,45,0
0,102,263,0
0,104,261,0
0,0,365,0
1,47,318,0
0,310,55,0
0,197,168,0
0,206,159,0
1,77,288,0
1,20,345,0
0,160,113,1
