female,age,coupon,start,time,churn,followtime
0,64,0,13,158,0,158
0,22,1,340,145,0,25
1,37,1,215,172,1,150
0,55,1,54,424,0,311
1,71,0,216,529,0,149
1,38,0,273,764,0,92
1,44,1,105,1208,0,260
1,59,1,131,203,0,203
1,26,0,235,14,0,14
1,27,1,107,691,1,258
0,61,0,347,1298,1,18
1,49,1,5,255,1,255
0,65,1,294,512,0,71
0,15,1,295,663,1,70
1,61,0,135,1413,1,230
0,57,1,127,1408,0,238
1,28,0,348,551,0,17
1,60,0,67,538,0,298
0,37,0,327,1357,0,38
1,42,0,92,1,1,1
1,22,0,209,21,1,21
0,15,0,186,446,0,179
1,16,1,111,1011,0,254
0,57,0,178,741,0,187
1,24,0,153,323,0,212
1,20,0,58,444,0,307
1,70,1,297,1640,1,68
1,65,0,208,1642,0,157
0,74,0,223,239,1,142
1,17,0,145,732,0,220
1,51,1,77,1329,0,288
0,25,1,49,1402,0,316
1,40,1,364,34,1,1
0,33,1,55,818,1,310
1,40,1,105,1127,0,260
0,58,0,18,1146,0,347
0,24,0,33,120,1,120
1,83,1,1,1541,0,364
0,50,1,48,1133,1,317
1,80,0,300,1423,1,65
0,14,1,303,969,0,62
0,13,0,16,137,1,137
0,23,1,78,944,1,287
1,31,0,168,191,1,191
0,67,0,74,1255,1,291
1,61,1,150,908,1,215
1,36,0,188,363,0,177
0,51,0,256,16,1,16
0,52,0,202,1160,1,163
1,52,1,12,1401,1,353
0,53,0,333,1338,0,32
0,81,0,114,526,1,251
0,13,0,171,116,0,116
1,18,1,216,682,1,149
0,82,0,346,1238,1,19
0,65,1,203,823,0,162
0,83,0,184,1271,1,181
0,16,0,193,489,1,172
0,44,0,108,743,1,257
0,84,0,327,1148,1,38
1,61,1,125,188,1,188
0,35,0,219,854,1,146
0,41,1,269,607,1,96
0,83,0,306,386,0,59
1,78,0,56,1787,1,309
0,30,1,181,1262,0,184
0,45,0,57,256,1,256
1,52,1,119,701,1,246
1,23,0,78,136,0,136
1,22,0,109,1336,1,256
1,20,0,151,653,0,214
1,17,0,25,179,0,179
0,23,0,40,985,0,325
0,58,0,108,800,1,257
0,24,1,240,111,0,111
1,74,1,198,664,0,167
1,19,1,192,1,0,1
0,61,1,357,745,0,8
0,52,1,20,967,0,345
1,74,1,17,53,1,53
1,32,0,347,614,1,18
0,77,0,303,17,1,17
1,20,1,99,797,0,266
0,15,0,96,276,1,269
1,40,1,78,142,1,142
1,33,1,310,229,0,55
1,62,1,341,1435,1,24
0,34,0,112,542,1,253
1,46,1,177,204,0,188
0,53,0,60,667,0,305
1,68,1,96,1023,1,269
1,31,0,41,118,1,118
0,23,0,199,625,1,166
1,20,1,301,913,0,64
1,83,1,185,1343,1,180
0,72,1,230,581,0,135
0,58,1,71,891,0,294
0,74,0,17,1350,0,348
0,61,1,153,826,0,212
1,61,1,26,559,1,339
0,33,1,341,478,0,24
0,55,1,172,1325,1,193
1,61,0,285,429,0,80
1,23,1,172,771,0,193
0,63,1,105,75,1,75
1,71,1,115,78,0,78
0,39,1,60,369,1,305
1,34,1,312,191,1,53
1,22,0,54,412,0,311
0,71,1,120,1371,0,245
0,77,0,273,939,0,92
1,30,0,10,835,0,355
0,17,0,168,1090,1,197
1,44,1,261,926,1,104
1,82,0,207,687,0,158
1,24,1,217,570,1,148
0,42,0,210,800,0,155
1,32,0,132,125,1,125
1,60,1,357,1517,1,8
0,79,0,273,1456,1,92
1,15,1,14,1289,0,351
1,16,1,330,1336,1,35
0,31,0,274,1136,0,91
1,74,0,249,1531,1,116
0,33,0,163,150,1,150
0,23,0,101,244,1,244
1,84,0,55,784,1,310
0,22,0,56,1056,1,309
0,78,0,102,1202,1,263
0,76,1,71,92,0,92
1,38,1,147,2,0,2
0,63,0,365,583,0,0
1,31,0,141,796,1,224
1,32,1,339,811,0,26
1,53,1,93,1164,1,272
1,48,0,57,1413,1,308
0,77,1,56,1525,1,309
0,69,1,363,1161,0,2
1,22,0,61,206,1,206
1,66,1,13,1246,0,352
0,80,0,239,1052,1,126
0,55,0,118,898,0,247
1,50,1,327,1179,0,38
0,82,1,231,1545,0,134
1,48,1,25,1621,0,340
1,27,0,146,587,1,219
1,37,1,341,906,0,24
1,68,0,131,1251,0,234
1,42,1,98,136,1,136
1,67,0,349,583,1,16
0,18,1,355,415,0,10
1,49,0,352,1182,0,13
1,63,0,344,374,1,21
1,31,1,195,785,1,170
0,47,1,8,310,0,310
0,32,1,28,1132,0,337
0,37,1,147,997,0,218
0,58,1,47,130,0,130
1,40,1,38,1120,0,327
0,58,1,290,385,1,75
1,49,0,150,26,0,26
0,29,0,243,722,0,122
0,59,1,229,302,1,136
0,62,0,289,1333,0,76
1,71,1,187,1132,0,178
1,64,1,77,1523,1,288
1,16,0,296,1104,1,69
1,24,0,123,94,0,94
0,57,1,105,69,1,69
0,48,1,249,263,0,116
1,24,0,239,614,1,126
0,65,1,43,1472,0,322
1,33,1,318,142,0,47
1,81,1,264,249,0,101
0,63,1,339,1431,0,26
1,75,1,51,979,1,314
0,81,0,245,1057,1,120
0,34,0,37,1312,0,328
0,34,0,5,835,0,360
1,17,1,196,907,0,169
1,77,0,79,1440,1,286
0,36,1,14,48,0,48
0,24,0,100,631,1,265
1,47,0,313,1239,0,52
1,34,0,5,127,0,127
0,54,0,151,1116,0,214
1,82,0,309,1796,0,56
1,24,0,297,1111,1,68
0,42,1,324,475,0,41
1,30,1,170,729,0,195
0,15,1,3,864,0,362
0,54,1,227,1082,1,138
0,54,0,275,1574,0,90
1,77,1,208,65,1,65
1,76,0,14,1119,1,351
1,25,0,78,42,0,42
1,43,0,35,778,0,330
1,13,1,264,870,1,101
0,31,0,271,58,1,58
0,70,1,186,706,0,179
0,78,1,18,535,0,347
0,19,0,251,1119,0,114
0,28,0,93,1028,0,272
0,54,0,227,1048,0,138
1,66,1,107,610,1,258
0,80,1,21,556,0,344
1,43,0,174,1405,0,191
1,59,0,80,643,1,285
0,29,0,275,327,0,90
0,78,0,273,297,0,92
1,44,1,302,173,1,63
1,65,1,320,661,1,45
1,28,0,93,425,0,272
1,68,0,39,624,1,326
1,72,0,31,1894,1,334
1,31,1,33,627,1,332
1,36,1,140,818,1,225
1,43,0,221,307,0,144
0,81,0,14,1259,0,351
1,37,1,219,918,1,146
1,53,1,254,843,0,111
1,62,0,126,646,1,239
1,58,0,253,1346,1,112
1,79,1,116,1695,0,249
1,20,1,249,973,0,116
1,23,1,121,737,0,244
1,59,1,230,835,0,135
1,31,1,40,140,0,140
0,20,1,309,1040,0,56
1,30,1,111,269,0,254
0,68,0,108,943,1,257
0,52,1,246,1342,1,119
1,59,0,294,10,0,10
1,69,0,185,1231,0,180
1,74,1,287,122,1,78
1,44,0,50,1263,1,315
1,37,0,44,70,0,70
0,33,1,35,1051,0,330
1,49,0,173,515,1,192
1,26,0,288,145,0,77
0,74,0,287,1699,1,78
0,45,0,96,1297,1,269
0,58,1,21,237,1,237
1,75,1,146,308,1,219
1,17,0,236,112,1,112
1,73,0,318,619,1,47
1,25,1,20,1382,1,345
1,15,0,221,529,0,144
0,33,1,87,1107,0,278
1,34,1,83,1173,0,282
1,77,1,21,680,1,344
1,46,1,163,532,0,202
0,58,1,82,1308,0,283
1,83,0,117,1817,1,248
0,79,0,202,969,0,163
1,30,1,112,9,1,9
0,55,0,299,369,1,66
1,31,1,138,693,1,227
0,73,1,40,13,1,13
0,26,0,190,510,0,175
0,81,0,172,1003,0,193
0,54,1,28,769,0,337
0,63,1,58,323,0,307
0,68,1,282,619,1,83
0,77,1,152,1304,0,213
0,84,0,213,838,0,152
1,52,0,62,152,0,152
1,25,0,207,1229,1,158
1,54,0,205,1172,0,160
0,34,0,22,430,1,343
1,67,1,158,1389,0,207
0,31,0,145,1129,1,220
1,27,0,122,403,0,243
